119,1950,100,24303,2483
120,2000,150,24203,822
121,1950,150,24103,-541
122,1900,150,24203,-1289
123,1850,150,24303,-1452
124,1800,150,24403,-1347
125,1750,150,24503,-1295
126,1700,150,24603,-1323
127,1650,150,24703,-1198
128,1600,150,24803,-644
129,1550,150,24903,420
130,1500,150,24943,1795
131,1450,150,24843,7268
132,1400,150,24743,27672
133,1350,150,24643,25997
134,1300,150,24543,24262
135,1250,150,24443,13289
136,1200,150,24343,5761
137,1150,150,24243,2934
138,1100,150,24143,1567
139,1050,150,24043,592
140,1000,150,23997,109
141,950,150,24097,405
142,900,150,24144,1336
143,850,150,24044,2242
144,800,150,23944,2379
145,750,150,23844,1413
146,700,150,23744,-254
147,650,150,23844,-1739
148,600,150,23944,-2311
149,550,150,24044,-1854
150,500,150,24144,-875
151,450,150,24244,-85
152,400,150,24344,118
153,350,150,24444,-86
154,300,150,24544,-149
155,250,150,24644,319
156,200,150,24734,2374
157,150,150,24634,9006
158,100,150,24534,6747
159,50,150,24434,3070
160,0,200,24334,676
161,50,200,24246,-827
162,100,200,24346,-1408
163,150,200,24446,-1168
164,200,200,24546,-501
165,250,200,24646,93
166,300,200,24746,316
167,350,200,24838,692
168,400,200,24742,1036
169,450,200,24642,721
170,500,200,24542,941
171,550,200,24442,1227
172,600,200,24342,1150
173,650,200,24242,531
174,700,200,24227,-378
175,750,200,24327,-1099
176,800,200,24427,-1287
177,850,200,24527,-934
178,900,200,24627,-347
179,950,200,24727,91
180,1000,200,24827,191
181,1050,200,24927,74
182,1100,200,25027,41
183,1150,200,25127,277
184,1200,200,25227,686
185,1250,200,25134,1017
186,1300,200,25034,4172
187,1350,200,24934,25611
188,1400,200,24834,24031
189,1450,200,24734,23355
190,1500,200,24634,22898
191,1550,200,24534,12964
192,1600,200,24434,6784
193,1650,200,24334,4271
194,1700,200,24234,2838
195,1750,200,24134,1971
196,1800,200,24034,1829
197,1850,200,23934,2279
198,1900,200,23834,2663
199,1950,200,23734,2220
200,2000,250,23634,657
201,1950,250,23556,-1555
202,1900,250,23656,-3367
203,1850,250,23756,-3876
204,1800,250,23856,-2929
205,1750,250,23956,-1173
206,1700,250,24056,423
207,1650,250,24094,1227
208,1600,250,23994,1286
209,1550,250,23894,1166
210,1500,250,23794,1388
211,1450,250,23694,1935
212,1400,250,23594,2262
213,1350,250,23494,1783
214,1300,250,23394,338
215,1250,250,23475,-1568
216,1200,250,23575,-3003
217,1150,250,23675,-3257
218,1100,250,23775,-2310
219,1050,250,23875,-787
220,1000,250,23975,488
221,950,250,23981,1055
222,900,250,23881,1039
223,850,250,23781,963
224,800,250,23681,1222
225,750,250,23581,1719
226,700,250,23481,1943
227,650,250,23381,1420
228,600,250,23281,90
229,550,250,23381,-1537
230,500,250,23481,-2647
231,450,250,23581,-2702
232,400,250,23681,-1781
233,350,250,23781,-480
234,300,250,23881,516
235,250,250,23873,889
236,200,250,23773,825
237,150,250,23673,791
238,100,250,23573,1075
239,50,250,23473,1519
240,0,300,23373,1652
241,50,300,23273,1105
242,100,300,23173,-103
243,150,300,23273,-1474
244,200,300,23373,-2306
245,250,300,23473,-2206
246,300,300,23573,-1333
247,350,300,23673,-240
248,400,300,23773,513
249,450,300,23767,732
250,500,300,23667,638
251,550,300,23598,645
252,600,300,23526,943
253,650,300,23426,1333
254,700,300,23326,1389
255,750,300,23226,834
256,800,300,23126,-251
257,850,300,23226,-1386
258,900,300,23326,-1978
259,950,300,23426,-1764
260,1000,300,23526,-955
261,1050,300,23626,-57
262,1100,300,23726,489
263,1150,300,23731,584
264,1200,300,23689,476
265,1250,300,23701,520
266,1300,300,23691,824
267,1350,300,23591,1160
268,1400,300,23491,1150
269,1450,300,23391,602
270,1500,300,23340,-359
271,1550,300,23440,-1278
